iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
UZB,Uzbekistan,1985,,,,,,,,,,,,,,,,,,,3.593,,17.305,,958.137,17.305,958.143,,,,,,5.431,0.0,,,0.0,5.431,0.0,0.0,47.939,,3.682,26668.884,,96.868,,466.587,25833.563,,,130801915000.0,,,64.645,,311.379,,17240.133,327.364,18125.155,11.33,,3.132,,15.087,300.723,835.342,11.33,5.431,300.723,,3.132,,15.087,835.342,,,0.0,,0.0,,0.0,0.0,0.0,,,28.63,,137.903,,7635.293,26.865,1487.452,,0.0,,0.0,,0.0,,0.0,0.0,2654.241,18061284.0,481.674,300.723,11.33,,3.132,,15.087,835.342,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
UZB,Uzbekistan,1986,13.208,2.286,11.593,37.951,9.524,2.559,-1.601,-7.709,,,,,,,,,,13.208,4.133,2.286,19.591,,1058.07,19.591,1058.076,,,,,,4.618,0.0,,,0.0,4.618,0.0,0.0,52.171,,3.668,25598.165,-1.168,97.293,-5.451,461.137,24905.334,,,129229072000.0,,-3.599,63.332,-11.206,300.173,,16211.939,365.315,19730.124,8.852,-14.972,2.707,-2.259,12.829,249.426,692.852,8.852,4.618,249.426,-14.972,2.707,-2.259,12.829,692.852,,,0.0,,0.0,0.0,0.0,0.0,0.0,,2.516,29.828,3.469,141.372,,7635.325,29.424,1589.143,,0.0,,0.0,0.0,0.0,,0.0,0.0,2817.681,18515578.0,473.965,249.426,8.852,-14.972,2.707,-2.259,12.829,692.852,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,1987,-16.667,-3.265,3.109,11.357,5.534,1.628,2.006,9.505,,,,,,,,,,-16.667,3.377,-3.265,16.326,,860.313,16.326,860.318,,,,,,6.771,0.0,,,0.0,6.771,0.0,0.0,54.755,,3.766,25477.437,0.765,96.11,3.527,464.664,24486.384,,,128382920000.0,,4.704,65.008,14.12,314.294,,16562.347,376.672,19849.465,12.365,46.603,3.89,5.978,18.807,356.786,991.074,12.365,6.771,356.786,46.603,3.89,5.978,18.807,991.074,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-5.184,27.725,-7.328,134.044,,7063.724,31.052,1636.353,,0.0,,0.0,0.0,0.0,,0.0,0.0,2885.425,18976410.0,483.47,356.786,12.365,46.603,3.89,5.978,18.807,991.074,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,1988,10.0,1.633,0.251,0.946,-8.614,-2.675,6.111,29.547,,,,,,,,,,10.0,3.501,1.633,17.958,,923.591,17.958,923.597,,,,,,7.164,0.0,,,0.0,7.164,0.0,0.0,50.59,,3.681,26384.492,6.124,96.121,28.454,493.118,25361.077,,,139357125000.0,,-1.406,60.402,-4.42,309.874,,15936.839,377.618,19420.908,14.161,5.809,3.879,1.093,19.9,368.437,1023.437,14.161,7.164,368.437,5.809,3.879,1.093,19.9,1023.437,,,0.0,,0.0,0.0,0.0,0.0,0.0,,23.307,32.218,31.242,165.285,,8500.646,28.377,1459.44,,0.0,,0.0,0.0,0.0,,0.0,0.0,2601.846,19443890.0,513.017,368.437,14.161,5.809,3.879,1.093,19.9,1023.437,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,1989,12.727,2.286,3.008,11.357,10.656,3.024,1.554,7.973,,,,,,,,,,12.727,3.886,2.286,20.244,,1016.351,20.244,1016.357,,,,,,5.502,0.0,,,0.0,5.502,0.0,0.0,55.874,,3.667,26156.61,2.553,97.066,12.589,505.707,25389.301,,,142094069000.0,,5.699,62.868,17.66,327.534,,16444.031,388.975,19528.697,9.847,-23.196,2.934,-4.616,15.284,276.239,767.33,9.847,5.502,276.239,-23.196,2.934,-4.616,15.284,767.33,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-4.451,30.313,-7.356,157.929,,7928.919,31.401,1576.504,,0.0,,0.0,0.0,0.0,,0.0,0.0,2805.184,19918120.0,520.991,276.239,9.847,-23.196,2.934,-4.616,15.284,767.33,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,1990,4.839,0.98,-5.377,-20.915,3.704,1.163,-0.244,-1.273,,,,,,,,,,4.839,4.084,0.98,21.223,,1040.444,21.223,1040.451,,,,,,6.648,0.0,,,0.0,6.648,0.0,0.0,56.325,,3.728,25478.393,-0.881,96.447,-4.456,501.251,24573.11,,,139398700000.0,,6.444,67.082,21.105,348.639,,17091.539,368.06,18043.618,11.803,20.825,3.553,3.183,18.467,325.909,905.303,11.803,6.648,325.909,20.825,3.553,3.183,18.467,905.303,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-16.806,25.281,-26.541,131.388,,6441.127,32.564,1596.404,,0.0,,0.0,0.0,0.0,,0.0,0.0,2761.253,20398348.0,519.717,325.909,11.803,20.825,3.553,3.183,18.467,905.303,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,1991,-8.492,-1.802,2.746,10.106,0.0,0.0,-1.18,-6.134,,,,,,,,,,-8.492,3.781,-1.802,19.421,,929.907,19.421,929.913,,,,,,6.031,0.0,,,0.0,6.031,0.0,0.0,54.165,,3.76,24591.189,-0.882,96.738,-4.42,496.831,23789.059,,,136577596853.0,,0.785,68.416,2.735,351.374,,16824.353,378.166,18107.194,11.134,-9.281,3.262,-1.714,16.753,288.774,802.15,11.134,6.031,288.774,-9.281,3.262,-1.714,16.753,802.15,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-4.074,24.54,-5.352,126.036,,6034.798,32.564,1559.215,,0.0,,0.0,0.0,0.0,,0.0,0.0,2593.505,20884862.0,513.584,288.774,11.134,-9.281,3.262,-1.714,16.753,802.15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,1992,-21.318,-4.14,1.705,6.449,17.857,5.815,-5.221,-26.814,,,,,,,,,,-21.318,3.139,-4.14,15.281,,714.888,15.281,714.892,,,,,,6.281,0.0,,,0.0,6.281,0.0,0.0,50.911,,4.073,22772.706,-5.537,96.416,-27.509,469.322,21956.483,,,119510829910.0,,0.501,72.547,1.76,353.134,,16520.83,384.615,17993.588,12.337,4.145,3.584,0.694,17.447,293.846,816.241,12.337,6.281,293.846,4.145,3.584,0.694,17.447,816.241,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-19.938,20.73,-25.129,100.907,,4720.766,38.379,1795.499,,0.0,,0.0,0.0,0.0,,0.0,0.0,2381.788,21375114.0,486.769,293.846,12.337,4.145,3.584,0.694,17.447,816.241,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,1993,-18.654,-2.85,5.656,21.752,21.242,8.153,7.534,36.673,,,,,,,,,,-18.654,2.375,-2.85,12.43,,568.583,12.43,568.587,,,,,,7.358,0.0,,,0.0,7.358,0.0,0.0,49.149,,4.555,23943.033,7.177,96.095,33.681,503.003,23008.146,,,114918069419.0,,9.0,73.535,31.781,384.915,,17606.605,406.368,18587.869,14.971,17.147,3.905,2.992,20.439,336.566,934.907,14.971,7.358,336.566,17.147,3.905,2.992,20.439,934.907,,,0.0,,0.0,0.0,0.0,0.0,0.0,,4.708,20.185,4.751,105.658,,4832.958,46.532,2128.428,,0.0,,0.0,0.0,0.0,,0.0,0.0,2248.15,21861974.0,523.442,336.566,14.971,17.147,3.905,2.992,20.439,934.907,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
UZB,Uzbekistan,1994,0.998,0.124,4.879,19.827,37.891,17.631,-1.884,-9.86,,,,,,,,,,0.998,2.444,0.124,12.554,,562.066,12.555,562.07,,,,,,7.156,0.0,,,0.0,7.156,0.0,0.0,47.8,,4.789,22993.275,-1.849,96.13,-9.298,493.705,22103.357,,,107242096460.0,,1.606,76.15,6.18,391.095,,17509.476,426.195,19080.907,14.971,-2.745,3.87,-0.561,19.878,320.377,889.936,14.971,7.156,320.377,-2.745,3.87,-0.561,19.878,889.936,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-14.767,17.535,-15.603,90.055,,4031.815,64.163,2872.588,,0.0,,0.0,0.0,0.0,,0.0,0.0,2140.024,22336202.0,513.582,320.377,14.971,-2.745,3.87,-0.561,19.878,889.936,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
